abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,updated_at
40009668553,Australian Institute of Management Education and Training Pty Ltd,Education/Training,Australian Private Company,Active,RTO,NSW,2000,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,009668553,AUSTRALIAN INSTITUTE OF MANAGEMENT EDUCATION AND TRAINING PTY LIMITED,"","","",https://training.gov.au/organisation/details/0049,2026-02-19 00:04:21.619636
99086048562,BAI Communications,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2060,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,086048562,BAI COMMUNICATIONS PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:04:59.899399
14006338067,Bomac Engineering Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3803,1999-11-01 00:00:00,26,true,2010-10-01 00:00:00,true,006338067,BOMAC ENGINEERING PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:05:05.123073
79088983135,Gravotech Australia,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2145,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,088983135,GRAVOTECH AUSTRALIA PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:05:44.620664
43008648771,Iscar Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2153,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,008648771,ISCAR AUSTRALIA PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:06:01.897452
15006568501,Metal Industries Insurance Brokers,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3805,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,006568501,SEAR & ASSOCIATES INSURANCE BROKERS PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:06:20.667109
51005337057,Scan-Xpress Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3056,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,005337057,SCAN XPRESS PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:06:48.864417
21003578434,Tesuco Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2128,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,003578434,TESUCO PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:07:02.175497
73089101271,Advanced Business Manager,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,VIC,3032,1999-11-01 00:00:00,26,true,2009-09-01 00:00:00,true,089101271,ADVANCED BUSINESS MANAGER PTY LTD,"","",https://www.advancedbusinessmanager.com/australian-rail-freight-continues-to-grow/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:07:51.901157
72004108365,Labelhouse,Service Provider,Australian Private Company,Active,NorthLink-FoodSvc,NSW,2049,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,004108365,LABELHOUSE PTY. LTD.,"","",https://labelhousevic.com.au/,https://northlink.org.au/melbournes-north-food-group/service-provider-directory/,2026-02-19 00:08:11.661173
