abn,name,category,sources,state,postcode,registration_date,found_at_url
13069240471,Australian Foundry Institute Victorian Division Incorporated,Manufacturing,AMTIL,VIC,3012,1999-11-01 00:00:00,https://amtil.com.au/directory/
99086048562,BAI Communications,Manufacturing,AMTIL,NSW,2060,1999-11-01 00:00:00,https://amtil.com.au/directory/
14006338067,Bomac Engineering Pty Ltd,Manufacturing,AMTIL,VIC,3803,1999-11-01 00:00:00,https://amtil.com.au/directory/
40009668553,Australian Institute of Management Education and Training Pty Ltd,Education/Training,RTO,NSW,2000,1999-11-01 00:00:00,https://training.gov.au/organisation/details/0049
79088983135,Gravotech Australia,Manufacturing,AMTIL,NSW,2145,1999-11-01 00:00:00,https://amtil.com.au/directory/
43008648771,Iscar Australia Pty Ltd,Manufacturing,AMTIL,NSW,2153,1999-11-01 00:00:00,https://amtil.com.au/directory/
78003032151,Lastek Pty Ltd,Manufacturing,AMTIL,SA,5031,1999-11-01 00:00:00,https://amtil.com.au/directory/
15006568501,Metal Industries Insurance Brokers,Manufacturing,AMTIL,VIC,3805,1999-11-01 00:00:00,https://amtil.com.au/directory/
12414244204,MTI Qualos Pty Ltd,Manufacturing,AMTIL,VIC,3081,1999-11-01 00:00:00,https://amtil.com.au/directory/
49781030034,RMIT University,Manufacturing,"AMTIL,NorthLink",VIC,3000,1999-11-01 00:00:00,https://amtil.com.au/directory/
51005337057,Scan-Xpress Pty Ltd,Manufacturing,AMTIL,VIC,3056,1999-11-01 00:00:00,https://amtil.com.au/directory/
13628586699,Swinburne University of Technology VIC Hawthorn,Manufacturing,"AMTIL,NorthLink",VIC,3122,1999-11-01 00:00:00,https://amtil.com.au/directory/
21003578434,Tesuco Pty Ltd,Manufacturing,AMTIL,NSW,2128,1999-11-01 00:00:00,https://amtil.com.au/directory/
53014069881,"Western Sydney University, Launch Pad",Manufacturing,AMTIL,NSW,2753,1999-11-01 00:00:00,https://amtil.com.au/directory/
43641224109,Glendal Food Co.,Service Provider/Manufacturing,NorthLink,VIC,3056,1999-11-01 00:00:00,https://gfoods.com.au/
23226473941,NORTH Link,Service Provider/Manufacturing,NorthLink,VIC,3072,1999-11-01 00:00:00,""
73089101271,Advanced Business Manager,Service Provider/Manufacturing,NorthLink,VIC,3032,1999-11-01 00:00:00,https://www.advancedbusinessmanager.com/australian-rail-freight-continues-to-grow/
72004108365,Labelhouse,Service Provider/Manufacturing,NorthLink,NSW,2049,1999-11-01 00:00:00,https://labelhousevic.com.au/
64804735113,La Trobe University,Service Provider/Manufacturing,NorthLink,VIC,3083,1999-11-01 00:00:00,https://www.latrobe.edu.au/
62000768776,Linde Material Handling,Service Provider/Manufacturing,NorthLink,NSW,2148,1999-11-01 00:00:00,https://lindemh.com.au/
32090665277,ReWaste - Organics Recycling Service,Service Provider/Manufacturing,NorthLink,NSW,2032,1999-11-01 00:00:00,https://www.rewaste.com.au/
86705229811,Stows Waste Management,Service Provider/Manufacturing,NorthLink,VIC,3061,1999-11-01 00:00:00,http://www.stows.com.au/
75062168234,Zynet,Service Provider/Manufacturing,NorthLink,VIC,3043,1999-11-01 00:00:00,https://www.zynet.com.au/
51403781986,AUTOMATION APPLICATIONS,"",ABR-Search,NSW,2153,1999-11-01 00:00:00,""
92089018806,AUTOMATION DESIGN PTY LTD,"",ABR-Search,NSW,2681,1999-11-01 00:00:00,""
99076010583,Embedded Network Manager,"",ABR-Search,VIC,3149,1999-11-01 00:00:00,""
79500967084,Embedded Systems Design,"",ABR-Search,VIC,3523,1999-11-01 00:00:00,""
33089992647,REAL TIME & EMBEDDED SYSTEMS PTY LTD,"",ABR-Search,VIC,3931,1999-11-01 00:00:00,""
75913771389,PLATFORM ARTS INC,"",ABR-Search,VIC,3220,1999-11-01 00:00:00,""
17088259910,Benson Machines Pty Ltd,Manufacturing,AMTIL,NSW,2144,1999-12-01 00:00:00,https://amtil.com.au/directory/
89008171855,Dixon Industries Pty Ltd,Manufacturing,AMTIL,SA,5014,1999-12-15 00:00:00,https://amtil.com.au/directory/
28050198895,KAESER Compressors Australia Pty Ltd,Manufacturing,AMTIL,VIC,3175,1999-12-15 00:00:00,https://amtil.com.au/directory/
15091031677,Cop-A-MATE Products Pty Ltd,Manufacturing,"AMTIL,NorthLink",VIC,3061,2000-01-01 00:00:00,https://amtil.com.au/directory/
22002072184,RAINBOW MODELLING CLAY,"",ABR-Search,NSW,2120,2000-01-17 00:00:00,""
97002901135,AUTOMATION TECHNOLOGIES PTY. LTD.,"",ABR-Search,NSW,2097,2000-01-20 00:00:00,""
11005434024,Fantech Pty Ltd,Manufacturing,AMTIL,VIC,3175,2000-01-21 00:00:00,https://amtil.com.au/directory/
45051533398,Radius Benders Pty Ltd,Manufacturing,AMTIL,NSW,4122,2000-01-21 00:00:00,https://amtil.com.au/directory/
61066861943,Novasys Group Pty Ltd,Manufacturing,AMTIL,VIC,3153,2000-01-23 00:00:00,https://amtil.com.au/directory/
87058229495,ECI Software Solutions,Manufacturing,AMTIL,VIC,3123,2000-01-25 00:00:00,https://amtil.com.au/directory/
96004338961,Headland Technology,Manufacturing,AMTIL,VIC,3125,2000-01-25 00:00:00,https://amtil.com.au/directory/
29006111691,Independent Software Advisors,Service Provider/Manufacturing,NorthLink,VIC,3106,2000-01-25 00:00:00,https://www.linkedin.com/in/brian-leacy-99288751/?originalSubdomain=au
53088212686,Value Heat Treatment,Manufacturing,AMTIL,VIC,4108,2000-01-28 00:00:00,https://amtil.com.au/directory/
46089353524,Protube Engineering Pty Ltd,Manufacturing,AMTIL,SA,5067,2000-02-01 00:00:00,https://amtil.com.au/directory/
92091253137,FUTURE PLATFORM PTY LIMITED,"",ABR-Search,NSW,2095,2000-02-01 00:00:00,""
80003538172,DINNA MATHEMATICAL MODELLING PTY. LIMITED,"",ABR-Search,NSW,2022,2000-02-02 00:00:00,""
35001355899,Fanuc Oceania Pty Ltd,Manufacturing,AMTIL,NSW,2148,2000-02-03 00:00:00,https://amtil.com.au/directory/
97057888552,Outerspace Design Group,Service Provider/Manufacturing,NorthLink,VIC,3067,2000-02-03 00:00:00,https://outerspace.co/
74000014175,Quaker Houghton Australia Pty Ltd,Manufacturing,AMTIL,VIC,3189,2000-02-04 00:00:00,https://amtil.com.au/directory/
62000020100,Harrington Industries Pty Ltd,Manufacturing,AMTIL,NSW,2211,2000-02-13 00:00:00,https://amtil.com.au/directory/
96000286957,Hare & Forbes Machineryhouse,Manufacturing,AMTIL,NSW,2152,2000-02-14 00:00:00,https://amtil.com.au/directory/
73065365031,Food Process Engineering,Service Provider/Manufacturing,NorthLink,VIC,3095,2000-02-14 00:00:00,http://www.foodpro.com.au/index2.html
59081618055,Bottcher Australia,Manufacturing,AMTIL,NSW,2164,2000-02-16 00:00:00,https://amtil.com.au/directory/
25004607514,Delahenty Machinery Pty Ltd,Manufacturing,AMTIL,VIC,3180,2000-02-17 00:00:00,https://amtil.com.au/directory/
79003244942,Machine Technology,Manufacturing,AMTIL,NSW,2217,2000-02-21 00:00:00,https://amtil.com.au/directory/
17000834999,Kennametal Australia Pty Ltd,Manufacturing,AMTIL,VIC,4129,2000-02-22 00:00:00,https://amtil.com.au/directory/
65005953168,Flavour Makers,Manufacturing,AMTIL,VIC,3195,2000-02-23 00:00:00,https://amtil.com.au/directory/
64056356677,Camco Cutting Tools International Pty Ltd,Manufacturing,AMTIL,VIC,3043,2000-02-24 00:00:00,https://amtil.com.au/directory/
67005573660,Barker Trailers,Service Provider/Manufacturing,NorthLink,VIC,3442,2000-02-24 00:00:00,https://barkertrailers.com.au/
32060673396,3D Systems Asia-Pacific Pty Ltd,Manufacturing,AMTIL,NSW,3153,2000-02-25 00:00:00,https://amtil.com.au/directory/
14006135940,Ajay Engineering Co.,Manufacturing,AMTIL,VIC,3175,2000-02-25 00:00:00,https://amtil.com.au/directory/
79004510972,Ronson Gears Pty Ltd,Manufacturing,AMTIL,VIC,3190,2000-02-25 00:00:00,https://amtil.com.au/directory/
94007441689,Waddell Engineering,Manufacturing,AMTIL,VIC,3190,2000-02-25 00:00:00,https://amtil.com.au/directory/
71064692360,AUTOMATION BY DESIGN,"",ABR-Search,VIC,3180,2000-02-25 00:00:00,""
46003154452,PLATFORM G,"",ABR-Search,NSW,2022,2000-02-25 00:00:00,""
18000008211,Okuma Australia Pty Ltd,Manufacturing,AMTIL,VIC,3178,2000-02-26 00:00:00,https://amtil.com.au/directory/
66006029296,CNC Design Pty Ltd,Manufacturing,AMTIL,VIC,3131,2000-02-29 00:00:00,https://amtil.com.au/directory/
47001145651,SEI Carbide Australia Pty Ltd,Manufacturing,AMTIL,NSW,2750,2000-02-29 00:00:00,https://amtil.com.au/directory/
83089091298,TLV Pty Ltd,Manufacturing,AMTIL,VIC,3131,2000-02-29 00:00:00,https://amtil.com.au/directory/
59006590174,Amiga Engineering Pty Ltd,Manufacturing,"AMTIL,NorthLink",VIC,3043,2000-03-01 00:00:00,https://amtil.com.au/directory/
