abn,name,category,entity_type,entity_status,sources,state,postcode,registration_date,age_years,gst_registered,gst_effective_from,is_current_entity,acn,main_trading_name,phone,email,business_url,found_at_url,updated_at
25067428344,Taylor Machinery Co,Manufacturing,Australian Private Company,Active,AMTIL,VIC,2060,1999-11-01 00:00:00,26,true,2000-07-01 00:00:00,true,067428344,TAYLOR CONSTRUCTION GROUP PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 01:00:01.497022
17088259910,Benson Machines Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,NSW,2144,1999-12-01 00:00:00,26,true,2000-07-01 00:00:00,true,088259910,BENSON-MFI PTY LTD,"","","",https://amtil.com.au/directory/,2026-02-19 00:41:46.75789
51088110169,McKinna Group,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,1999-12-10 00:00:00,26,true,2000-07-01 00:00:00,true,088110169,MCKINNA SHEETMETAL PTY LTD,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:33.313962
89008171855,Dixon Industries Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,SA,5014,1999-12-15 00:00:00,26,true,2000-07-01 00:00:00,true,008171855,DIXON INDUSTRIES PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:09.018706
28050198895,KAESER Compressors Australia Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3175,1999-12-15 00:00:00,26,true,2000-07-01 00:00:00,true,050198895,KAESER COMPRESSORS AUSTRALIA PTY. LIMITED,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:40.455367
95064086193,PMG Engineering Services Pty Ltd,Manufacturing,Australian Private Company,Active,SEMMA,VIC,3195,1999-12-17 00:00:00,26,true,2000-07-01 00:00:00,true,064086193,P.M.G. ENGINEERING SERVICES PTY. LTD.,"","","",https://semma.com.au/members-directory/,2026-02-19 00:57:41.560317
15091031677,Cop-A-MATE Products Pty Ltd,Manufacturing,Australian Private Company,Active,"AMTIL,NorthLink-MfgPartner",VIC,3061,2000-01-01 00:00:00,26,true,2000-07-01 00:00:00,true,091031677,COP-A-MATE PRODUCTS PTY LTD,"","",https://copamate.com/,https://amtil.com.au/directory/,2026-02-19 01:03:03.616519
22002072184,RAINBOW MODELLING CLAY,"",Australian Private Company,Active,ABR-Search,NSW,2120,2000-01-17 00:00:00,26,true,2000-07-01 00:00:00,true,002072184,S & S WHOLESALE PTY LTD,"","","","",2026-02-19 00:45:47.839968
97002901135,AUTOMATION TECHNOLOGIES PTY. LTD.,"",Australian Private Company,Active,ABR-Search,NSW,2097,2000-01-20 00:00:00,26,true,2000-07-01 00:00:00,true,002901135,AUTOMATION TECHNOLOGIES PTY. LTD.,"","","","",2026-02-19 00:45:06.189021
11005434024,Fantech Pty Ltd,Manufacturing,Australian Private Company,Active,AMTIL,VIC,3175,2000-01-21 00:00:00,26,true,2000-07-01 00:00:00,true,005434024,FANTECH PTY. LTD.,"","","",https://amtil.com.au/directory/,2026-02-19 00:42:16.635222
